true_label,prob,pred,inference_time_ms
0,0.997214,1,0.0006
0,0.995715,1,0.0006
0,0.995272,1,0.0006
0,0.991698,1,0.0006
0,0.985096,1,0.0006
0,0.988462,1,0.0006
0,0.993031,1,0.0006
1,0.994694,1,0.0006
1,0.992067,1,0.0006
1,0.973104,1,0.0006
1,0.987382,1,0.0006
1,0.985252,1,0.0006
1,0.987721,1,0.0006
1,0.989768,1,0.0006
1,0.99145,1,0.0006
1,0.987972,1,0.0005
1,0.989076,1,0.0006
1,0.988509,1,0.0006
1,0.988504,1,0.0006
0,0.938049,1,0.0006
0,0.925728,1,0.0006
0,0.953561,1,0.0006
0,0.9151,1,0.0006
0,0.947417,1,0.0006
0,0.966393,1,0.0006
0,0.958945,1,0.0006
0,0.948792,1,0.0006
0,0.96,1,0.0006
0,0.974104,1,0.0006
0,0.98043,1,0.0006
0,0.972182,1,0.0006
0,0.981559,1,0.0006
0,0.9752,1,0.0006
0,0.882212,1,0.0006
0,0.98625,1,0.0006
0,0.991087,1,0.0006
0,0.965903,1,0.0006
0,0.938311,1,0.0006
0,0.988942,1,0.0006
1,0.971313,1,0.0006
1,0.98657,1,0.0006
0,0.993976,1,0.0006
0,0.992655,1,0.0006
0,0.986826,1,0.0006
1,0.991381,1,0.0006
1,0.985136,1,0.0006
1,0.981665,1,0.0006
0,0.983329,1,0.0006
0,0.987465,1,0.0006
0,0.986752,1,0.0006
0,0.971231,1,0.0006
0,0.970042,1,0.0006
0,0.985528,1,0.0006
0,0.968434,1,0.0006
0,0.969649,1,0.0006
0,0.99142,1,0.0006
0,0.988729,1,0.0006
0,0.966744,1,0.0006
0,0.945236,1,0.0006
0,0.981933,1,0.0006
0,0.980303,1,0.0007
0,0.979326,1,0.0006
0,0.986603,1,0.0006
0,0.991281,1,0.0006
0,0.982725,1,0.0007
0,0.959108,1,0.0006
0,0.958929,1,0.0006
0,0.978634,1,0.0006
0,0.978559,1,0.0006
0,0.985935,1,0.0006
0,0.986578,1,0.0006
0,0.979269,1,0.0006
0,0.98548,1,0.0006
0,0.977752,1,0.0006
0,0.980719,1,0.0006
